-2.706577612402992550e+00,2.263894139123493332e+01,1.011217768305758824e+01,1.263700000000000000e+04
-1.231041940996332462e+00,1.651838291422404126e+01,5.145540607474747397e+00,1.155000000000000000e+04
-2.423067591538606180e+00,2.111106987387454126e+01,1.002564167738639078e+01,4.356000000000000000e+03
-2.920537241854724186e+00,2.002424204397481233e+01,7.242185040622127978e+00,3.656000000000000000e+03
-1.120953859086383897e+00,1.597010543540318750e+01,5.184667804745600073e+00,5.665000000000000000e+03
-1.175567086688496854e+00,1.648694560320273439e+01,5.131366016656667028e+00,2.671000000000000000e+03
-3.352308026585988365e+00,2.238951510791658706e+01,5.705616174352207359e+00,6.829000000000000000e+03
-1.971142967742493202e+00,2.240638453821256348e+01,9.378988770548724929e+00,7.206000000000000000e+03
-1.073143993659416262e+00,1.602676470144355036e+01,5.198736923311383151e+00,6.915000000000000000e+03
-1.903904653810657210e+00,2.235432928484738113e+01,9.039826119807976568e+00,4.191000000000000000e+03
